2026/05/22 12:59:26 Initializing NeoCP Professional Core Daemon...
2026/05/22 12:59:26 Workspace root path: /app
2026/05/22 12:59:26 Sanboxed user storage folder: /app/sandbox
2026/05/22 12:59:26 [Scanner] Initializing real-time malware & integrity protection...
2026/05/22 12:59:26 Starting premium HTTPS service on https://localhost:8443 (Self-Signed Dev Mode)...
2026/05/22 12:59:26 Starting secure mTLS Cluster Server on port :8444...
2026/05/22 12:59:26 Starting HTTP Dev server on http://localhost:8080...
2026/05/22 12:59:56 [Scanner] Audit complete. Scanned 1388 files. 0 threats detected.
2026/05/22 12:59:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:00:26 [Scanner] Audit complete. Scanned 2133 files. 0 threats detected.
2026/05/22 13:00:56 [Scanner] Audit complete. Scanned 5751 files. 0 threats detected.
2026/05/22 13:01:26 [Scanner] Audit complete. Scanned 4741 files. 0 threats detected.
2026/05/22 13:01:32 http: TLS handshake error from [::1]:47530: remote error: tls: unknown certificate
2026/05/22 13:01:33 http: TLS handshake error from [::1]:47546: remote error: tls: unknown certificate
2026/05/22 13:01:56 [Scanner] Audit complete. Scanned 5041 files. 0 threats detected.
2026/05/22 13:01:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:02:26 [Scanner] Audit complete. Scanned 4504 files. 0 threats detected.
2026/05/22 13:02:26 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:02:56 [Scanner] Audit complete. Scanned 3850 files. 0 threats detected.
2026/05/22 13:03:26 [Scanner] Audit complete. Scanned 2346 files. 0 threats detected.
2026/05/22 13:03:56 [Scanner] Audit complete. Scanned 1324 files. 0 threats detected.
2026/05/22 13:03:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:04:26 [Scanner] Audit complete. Scanned 2937 files. 0 threats detected.
2026/05/22 13:04:56 [Scanner] Audit complete. Scanned 1145 files. 0 threats detected.
2026/05/22 13:04:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:05:26 [Scanner] Audit complete. Scanned 3228 files. 0 threats detected.
2026/05/22 13:05:56 [Scanner] Audit complete. Scanned 2590 files. 0 threats detected.
2026/05/22 13:06:26 [Scanner] Audit complete. Scanned 1163 files. 0 threats detected.
2026/05/22 13:06:56 [Scanner] Audit complete. Scanned 3439 files. 0 threats detected.
2026/05/22 13:07:26 [Scanner] Audit complete. Scanned 1666 files. 0 threats detected.
2026/05/22 13:07:56 [Scanner] Audit complete. Scanned 4504 files. 0 threats detected.
2026/05/22 13:08:26 [Scanner] Audit complete. Scanned 1499 files. 0 threats detected.
2026/05/22 13:08:56 [Scanner] Audit complete. Scanned 3444 files. 0 threats detected.
2026/05/22 13:09:26 [Scanner] Audit complete. Scanned 1515 files. 0 threats detected.
2026/05/22 13:09:26 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:09:56 [Scanner] Audit complete. Scanned 5171 files. 0 threats detected.
2026/05/22 13:09:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:10:26 [Scanner] Audit complete. Scanned 4146 files. 0 threats detected.
2026/05/22 13:10:56 [Scanner] Audit complete. Scanned 4781 files. 0 threats detected.
2026/05/22 13:10:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:11:26 [Scanner] Audit complete. Scanned 2213 files. 0 threats detected.
2026/05/22 13:11:56 [Scanner] Audit complete. Scanned 5979 files. 0 threats detected.
2026/05/22 13:11:56 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:12:26 [Scanner] Audit complete. Scanned 4087 files. 0 threats detected.
2026/05/22 13:12:26 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:12:56 [Scanner] Audit complete. Scanned 3194 files. 0 threats detected.
