2026/05/23 01:52:52 Initializing NeoCP Professional Core Daemon...
2026/05/23 01:52:52 Workspace root path: /app/neocp
2026/05/23 01:52:52 Sanboxed user storage folder: /app/neocp/sandbox
2026/05/23 01:52:52 [Scanner] Initializing real-time malware & integrity protection...
2026/05/23 01:52:52 Starting premium HTTPS service on https://localhost:8443 (Self-Signed Dev Mode)...
2026/05/23 01:52:52 Starting secure mTLS Cluster Server on port :8444...
2026/05/23 01:52:52 Starting HTTP Dev server on http://localhost:8080...
2026/05/23 01:53:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:53:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:54:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:54:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:54:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 01:55:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:55:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 01:55:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:55:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 01:56:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:56:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 01:56:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:56:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 01:57:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:57:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 01:57:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:58:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:58:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:59:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 01:59:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:00:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:00:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 02:00:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:01:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:01:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:02:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:02:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 02:02:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:03:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:03:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 02:03:52 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:04:22 [Scanner] Audit complete. Scanned 14 files. 0 threats neutralized.
2026/05/23 02:04:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
